BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Anolis cristatellus,Male,Dactyloidae,Iguania,Anolis_cristatellus,35,35,33.366,10,67.6,17.76,12.95,10.27,20.68
Anolis oculatus,Male,Dactyloidae,Iguania,Anolis_oculatus,61,61,40.602,15.12,86.8,21.66,15.42,12.33,25.24
Crotaphytus antiquus,Male,Crotaphytidae,Iguania,Crotaphytus_antiquus,18,18,70.6,54.5,108.6,30.6,26.2,26.2,NA
Podarcis erhardii,Male,Lacertidae,Lacertoidea,Podarcis_erhardii,187,187,21.34,11.1,81.68,17.7,12.3,9.7,15.35
Podarcis melisellensis,Male,Lacertidae,Lacertoidea,Podarcis_melisellensis,148,64,16.7,7.25648400969543,67.46807076393718,15.738276253029824,9.64827625302982,7.808276253029822,17.041586754241752
Uromastyx aegyptia,Male,Agamidae,Iguania,Uromastyx_aegyptia,7,7,140.7,891.8,330,42.1,48.6,29.7,48.9
Urosaurus ornatus,Male,Phrynosomatidae,Iguania,Urosaurus_ornatus,12,12,6.9,NA,52.7,12.04,10.21,6.86,NA
Anolis aquaticus,Male,Dactyloidae,Iguania,Anolis_aquaticus,10,10,18.89209978830308,NA,66.07157310752329,16.891402170474088,9.285437744847147,7.595701085237044,17.28113883008419
Anolis lionotus,Male,Dactyloidae,Iguania,Anolis_lionotus,10,9,18.4,NA,74.7219219164378,18.476007159889242,9.653814968245463,8.053814968245463,18.73412104289766
Anolis oxylophus,Male,Dactyloidae,Iguania,Anolis_oxylophus,5,5,10.906888370749726,NA,67.65167917407439,16.66150923032491,9.461509230324909,7.972066511224917,17.432329623574848
Anolis poecilopus,Male,Dactyloidae,Iguania,Anolis_poecilopus,17,17,15.898484500494128,NA,70.6757192880806,17.548314293892062,9.594772675074118,7.553541618817943,17.889545350148236
Ctenophorus maculosus,Male,Agamidae,Iguania,Ctenophorus_maculosus,32,32,14,12.5,70.21,NA,15.55,10.15,20.14
Liolaemus baguali,Male,Liolaemidae,Iguania,Liolaemus_baguali,6,6,16.98266828073658,NA,99.54850479013726,21.222418306772823,14.738025460788357,9.150704050814243,22.30736728105114
Liolaemus bibronii,Male,Liolaemidae,Iguania,Liolaemus_bibronii,4,4,3.81,NA,56.65,12.129999999999999,8.28,5.93,12.15
Liolaemus canqueli,Male,Liolaemidae,Iguania,Liolaemus_canqueli,7,7,16.812208824175237,NA,101.15980314655502,19.741215550647127,12.672248194864233,9.896862696659689,20.99579068175359
Liolaemus kriegi,Male,Liolaemidae,Iguania,Liolaemus_kriegi,3,3,9.688320137979414,NA,82.6386910835277,17.609948452238573,13.10746133917893,8.807986928011506,18.086550992617017
Liolaemus coeruleus,Male,Liolaemidae,Iguania,Liolaemus_coeruleus,13,13,6.377998459167036,NA,64.64655204588047,13.46688820407424,9.952943716828878,6.242666153055678,14.030832691319599
Liolaemus elongatus,Male,Liolaemidae,Iguania,Liolaemus_elongatus,7,7,10.157450786638755,NA,79.57589484680562,17.16955544576196,11.085607775323563,7.137490157327751,17.15664041954067
Liolaemus escarchadosi,Male,Liolaemidae,Iguania,Liolaemus_escarchadosi,4,4,12.75,NA,82.24,17.61,11.58,10.27,19.05
Liolaemus fitzingerii,Male,Liolaemidae,Iguania,Liolaemus_fitzingerii,4,4,19.11,NA,100.55,20.26,14.32,10.379999999999999,20.95
Liolaemus hatcheri,Male,Liolaemidae,Iguania,Liolaemus_hatcheri,7,7,4.710182906430023,NA,62.16969898150299,13.465607775323564,9.841437827766148,6.26206528843421,13.807895340876794
Liolaemus kingii,Male,Liolaemidae,Iguania,Liolaemus_kingii,3,3,10.526166234887677,NA,77.954242446241,16.00444863728671,11.41870489570875,8.176935750346352,16.519089653438087
Liolaemus kolengh,Male,Liolaemidae,Iguania,Liolaemus_kolengh,7,7,3.3737253933193774,NA,58.86364665194139,12.734352853987438,9.511437827766148,5.955607775323564,13.327895340876793
Liolaemus mapuche,Male,Liolaemidae,Iguania,Liolaemus_mapuche,11,11,13.156967336477212,NA,83.66960720230466,17.22965745387819,12.246992462263972,9.273324958071079,17.98282370178174
Liolaemus morenoi,Male,Liolaemidae,Iguania,Liolaemus_morenoi,6,6,10.120249973963757,NA,68.9201479225204,14.872928563989644,10.456413256273139,7.261464281994822,15.255403051128804
Liolaemus petrophilus,Male,Liolaemidae,Iguania,Liolaemus_petrophilus,2,2,10.53,NA,95.94744299452283,21.94889393668845,14.34237590053236,8.509827560572969,23.607178207935913
Liolaemus rothi,Male,Liolaemidae,Iguania,Liolaemus_rothi,3,3,6.903153532995459,NA,87.80240794093612,17.641192008768392,13.619038105676658,9.068897274573418,19.364397089525283
Liolaemus sarmientoi,Male,Liolaemidae,Iguania,Liolaemus_sarmientoi,4,4,9.14,NA,79.91,16.95,11.86,9.11,18.04
Liolaemus tenuis,Male,Liolaemidae,Iguania,Liolaemus_tenuis,4,4,5.8999999999999995,NA,57.35,13.92,9.319999999999999,6,14.559999999999999
Liolaemus xanthoviridis,Male,Liolaemidae,Iguania,Liolaemus_xanthoviridis,5,5,14.49092089322475,NA,90.8423369549492,18.084558747174878,12.552755348299891,8.951509230324909,18.596919426949878
Liolaemus zullyae,Male,Liolaemidae,Iguania,Liolaemus_zullyae,5,5,9.64121506177483,NA,74.81459713474939,17.0233126291999,11.35790243257493,8.37609903369994,17.486787870774915
Sauromalus ater,Male,Iguanidae,Iguania,Sauromalus_ater,34,34,105.75475947422649,236.78142477979335,182.89428454762873,35.71547594742265,30.932380757938123,17.44928556845359,NA
Trogonophis wiegmanni,Male,Trogonophidae,Lacertoidea,Trogonophis_wiegmanni,15,15,6.439354670786374,8.456653005407116,168.07499869859438,7.502217668469038,5.670947501931113,4.612217668469039,NA
Lacerta trilineata,Male,Lacertidae,Lacertoidea,Lacerta_trilineata,12,12,78.84,NA,158,54.1,32.5,28.1,33.9
Aspidoscelis sexlineatus,Male,Teiidae,Lacertoidea,Aspidoscelis_sexlineatus,112,112,5.705790681753587,NA,70.69150262212919,17.545790681753587,9.492470471983252,8.10664041954067,NA
Iberolacerta horvathi,Male,Lacertidae,Lacertoidea,Iberolacerta_horvathi,26,26,2.489,NA,61.6,21.3,8.6,5.6,NA
