BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Acontias meleagris,unknown,Scincidae,Scincoidea,Acontias_meleagris,6,6,10.76,12.59,210.58,11.51,6.71,5.109999999999999,8.83
Acontias percivali,unknown,Scincidae,Scincoidea,Acontias_percivali,12,12,13.14,21.94,259.31,15.22,8.75,7.680000000000001,14.01
Anolis lineatopus,Male,Dactyloidae,Pleurodonta,Anolis_lineatopus,58,58,4.82,4.26,57.47,17.919999999999998,9.49,7.17,18.400000000000002
Chalcides ocellatus,unknown,Scincidae,Scincoidea,Chalcides_ocellatus,16,13,11.010000000000002,17.16,105.28999999999999,14.61,9.94,8.48,16
Chalcides sepsoides,unknown,Scincidae,Scincoidea,Chalcides_sepsoides,17,17,4.87,5.68,89.14,10.38,6.26,5.29,10.68
Gallotia atlantica,Male,Lacertidae,Lacertoidea,Gallotia_atlantica,20,20,35.6,26.9,97.1,22.9,15.3,10.899999999999999,25.599999999999998
Gallotia bravoana,Male,Lacertidae,Lacertoidea,Gallotia_bravoana,14,14,144,232.2,191.7,48,32.9,24.799999999999997,50.400000000000006
Gallotia caesaris,Male,Lacertidae,Lacertoidea,Gallotia_caesaris,7,7,54.8,35.300000000000004,105.7,27.7,17.9,13.700000000000001,39.8
Gallotia simonyi,Male,Lacertidae,Lacertoidea,Gallotia_simonyi,11,11,166.3,527.3,247.8,60,43.800000000000004,32.8,64.7
Gallotia stehlini,Male,Lacertidae,Lacertoidea,Gallotia_stehlini,16,16,147.7,334.7,211.6,56.1,37.800000000000004,29.3,59.4
Zootoca vivipara,Male,Lacertidae,Lacertoidea,Zootoca_vivipara,20,20,2.5,3.58,52.78,11.48,7.15,5.8,11.76
Mochlus sundevallii,unknown,Scincidae,Scincoidea,Mochlus_sundevallii,10,10,18.78,16.38,102.52,14.8,9.23,7.390000000000001,14.93
Scelotes bipes,unknown,Scincidae,Scincoidea,Scelotes_bipes,12,11,2.0300000000000002,2.29,85.23,6.75,3.8000000000000003,3.04,6.04
Scincus scincus,unknown,Scincidae,Scincoidea,Scincus_scincus,5,5,21.98,22.71,95.24000000000001,19.48,11.4,10.8,19.91
Sphenodon punctatus,Male,Sphenodontidae,Rhynchocephalia,Sphenodon_punctatus,74,74,219.8,607.4,258.2,67.3,51.2,37.699999999999996,72.5
Typhlosaurus caecus,unknown,Scincidae,Scincoidea,Typhlosaurus_caecus,32,32,4.609999999999999,4.9,205.72000000000003,7.5,3.93,2.25,5.4399999999999995
Typhlosaurus lomiae,unknown,Scincidae,Scincoidea,Typhlosaurus_lomiae,9,9,0.5700000000000001,1.11,116.82,5.81,2.69,2.1999999999999997,4.49
Typhlosaurus vermis,unknown,Scincidae,Scincoidea,Typhlosaurus_vermis,6,6,1.1800000000000002,3.7700000000000005,243.9,7.75,3.5500000000000003,3,6.260000000000001
Pygomeles braconnieri,unknown,Scincidae,Scincoidea,Pygomeles_braconnieri,6,1,9.36,20.119999999999997,146.78,12.33,7.6899999999999995,6.05,11.38
Anolis heterodermus,Male,Dactyloidae,Pleurodonta,Anolis_heterodermus,6,6,21.65,NA,75.33,22.43,11.4,10.21,21.66
Anolis allisoni,Male,Dactyloidae,Pleurodonta,Anolis_allisoni,9,9,7.390000000000001,NA,71.99000000000001,25.810000000000002,15.799999999999999,8.85,24.67
Anolis angusticeps,Male,Dactyloidae,Pleurodonta,Anolis_angusticeps,57,57,3.4400000000000004,NA,44.769999999999996,14.61,7.32,5.720000000000001,14.950000000000001
Anolis auratus,Female,Dactyloidae,Pleurodonta,Anolis_auratus,22,22,3.47,NA,47.7,12.110000000000001,6.37,5.02,12.24
Anolis bahorucoensis,Male,Dactyloidae,Pleurodonta,Anolis_bahorucoensis,30,30,3.96,NA,40.129999999999995,14.35,7.459999999999999,6.279999999999999,14.66
Anolis baracoae,Male,Dactyloidae,Pleurodonta,Anolis_baracoae,2,2,25.139999999999997,NA,124.05,42.71,14.82,18.43,42.739999999999995
Anolis barahonae,Male,Dactyloidae,Pleurodonta,Anolis_barahonae,32,32,50.88999999999999,NA,149.2,45.96,26.96,24.17,46.97
Anolis brevirostris,Male,Dactyloidae,Pleurodonta,Anolis_brevirostris,64,64,5.43,NA,45.77,14.56,9.23,7.01,14.25
Anolis brunneus,Male,Dactyloidae,Pleurodonta,Anolis_brunneus,53,53,6.15,NA,62.809999999999995,20.65,10.27,7.76,22.04
Anolis chloris,Male,Dactyloidae,Pleurodonta,Anolis_chloris,4,4,7.04,NA,60.669999999999995,17.23,8.97,7.0600000000000005,17.04
Anolis coelestinus,Male,Dactyloidae,Pleurodonta,Anolis_coelestinus,70,70,11.379999999999999,NA,62.76,20.12,11.33,9.040000000000001,20.57
Anolis cuvieri,Male,Dactyloidae,Pleurodonta,Anolis_cuvieri,10,10,73.78999999999999,NA,132.88000000000002,43.709999999999994,22.95,20.12,42.739999999999995
Anolis cybotes,Male,Dactyloidae,Pleurodonta,Anolis_cybotes,61,61,13.53,NA,58.74,21.15,12.98,10.81,20.7
Anolis distichus,Male,Dactyloidae,Pleurodonta,Anolis_distichus,83,83,4.14,NA,50.11,14.2,9.52,6.8,14.59
Anolis evermanni,Male,Dactyloidae,Pleurodonta,Anolis_evermanni,60,60,4.2,NA,56.1,17.34,10.45,8.04,18.1
Anolis frenatus,Male,Dactyloidae,Pleurodonta,Anolis_frenatus,2,2,42.81,NA,140.98000000000002,35.3,20.169999999999998,16.56,36.89
Anolis grahami,Male,Dactyloidae,Pleurodonta,Anolis_grahami,23,23,6.27,NA,59.95,18.85,11.1,8.36,19.69
Anolis gundlachi,Male,Dactyloidae,Pleurodonta,Anolis_gundlachi,28,28,8.47,NA,67.26,20.94,11.24,9.45,21.060000000000002
Anolis humilis,Female,Dactyloidae,Pleurodonta,Anolis_humilis,11,11,2.83,NA,37.709999999999994,10.81,6.029999999999999,4.78,10.98
Anolis krugi,Male,Dactyloidae,Pleurodonta,Anolis_krugi,39,39,3.77,NA,40.1,14.05,7.96,7.09,14.05
Anolis limifrons,Female,Dactyloidae,Pleurodonta,Anolis_limifrons,23,23,2.45,NA,41.75,11.520000000000001,5.9399999999999995,4.55,11.22
Anolis olssoni,Male,Dactyloidae,Pleurodonta,Anolis_olssoni,29,29,3.9799999999999995,NA,44.72,13.350000000000001,6.9399999999999995,6.23,14.33
Anolis pulchellus,Female,Dactyloidae,Pleurodonta,Anolis_pulchellus,7,7,4.7,NA,44.300000000000004,14.96,7.25,6.02,15.4
Anolis sheplani,Female,Dactyloidae,Pleurodonta,Anolis_sheplani,16,16,3.1399999999999997,NA,38.269999999999996,11.59,5.470000000000001,5.39,11.82
Anolis singularis,Male,Dactyloidae,Pleurodonta,Anolis_singularis,16,16,4.42,NA,40,13.4,7.88,6.4,14
Anolis smaragdinus,Male,Dactyloidae,Pleurodonta,Anolis_smaragdinus,54,54,4.43,NA,54.82,17.700000000000003,9.440000000000001,6.87,18.5
Anolis stratulus,Male,Dactyloidae,Pleurodonta,Anolis_stratulus,38,38,2.99,NA,45.72,14.850000000000001,8.83,6.6,14.850000000000001
Anolis valencienni,Male,Dactyloidae,Pleurodonta,Anolis_valencienni,23,23,9.8,NA,72.19,21.810000000000002,10.54,8.959999999999999,21.95
Aspidoscelis sonorae,unknown,Teiidae,Lacertoidea,Aspidoscelis_sonorae,51,51,8.379499949989997,NA,80.67799979995999,NA,11.454042832852284,9.649799979995999,NA
Bradypodion melanocephalum,Female,Chamaeleonidae,Acrodonta,Bradypodion_melanocephalum,16,15,17.990000000000002,NA,58.42,12.08,7.92,7.359999999999999,11.91
Cophosaurus texanus,unknown,Phrynosomatidae,Pleurodonta,Cophosaurus_texanus,29,29,6.1148076824970765,NA,69.11085709912983,NA,11.343181313355556,8.937032961426901,NA
Crotaphytus collaris,unknown,Crotaphytidae,Pleurodonta,Crotaphytus_collaris,6,6,16.517515203571534,NA,84.80138748304988,NA,19.504994845355345,12.617673435381235,NA
Dracaena guianensis,unknown,Teiidae,Lacertoidea,Dracaena_guianensis,4,4,471.5,NA,427.1,87.8,78.10000000000001,61.5,108.5
Elgaria kingii,unknown,Anguidae,Anguimorpha,Elgaria_kingii,15,15,8.980927010041786,NA,93.171953876719,NA,11.634112672331263,8.155705503476003,NA
Karusasaurus polyzonus,Male,Cordylidae,Scincoidea,Karusasaurus_polyzonus,16,16,46.82,NA,108.34,27.6,23.689999999999998,13.950000000000001,28.29
Dalmatolacerta oxycephala,Male,Lacertidae,Lacertoidea,Dalmatolacerta_oxycephala,34,34,7.9,NA,61.4,16.1,9.1,6.7,16.2
Ouroborus cataphractus,Male,Cordylidae,Scincoidea,Ouroborus_cataphractus,19,19,71.35,NA,111.05,30.75,29.56,14.9,30.05
Podarcis siculus,Male,Lacertidae,Lacertoidea,Podarcis_siculus,NA,NA,13.67,7.8,72.4,17.099999999999998,9.55,7.779999999999999,18.169999999999998
Sceloporus clarkii,unknown,Phrynosomatidae,Pleurodonta,Sceloporus_clarkii,49,49,20.12,NA,97.85000000000001,NA,20.5,13.92,NA
Sceloporus magister,unknown,Phrynosomatidae,Pleurodonta,Sceloporus_magister,8,8,11.402985565973347,NA,71.87895669792005,NA,14.917350647362943,10.403086578651015,NA
Sceloporus undulatus,unknown,Phrynosomatidae,Pleurodonta,Sceloporus_undulatus,68,68,7.5417043627594165,NA,64.04480998837707,NA,12.604469575172944,8.70215901261118,NA
Uta stansburiana,unknown,Phrynosomatidae,Pleurodonta,Uta_stansburiana,3,3,3.243730669589464,NA,48.155640646055105,NA,9.57425625842204,6.5722947341949745,NA
Xenosaurus grandis,Male,Xenosauridae,Anguimorpha,Xenosaurus_grandis,11,11,24.060000000000002,NA,117.29,28.77,23.27,13.76,30.75
Xenosaurus newmanorum,Male,Xenosauridae,Anguimorpha,Xenosaurus_newmanorum,7,7,25.669999999999998,NA,112.55,29.669999999999998,22.58,14.030000000000001,31.87
Xenosaurus platyceps,Male,Xenosauridae,Anguimorpha,Xenosaurus_platyceps,10,10,16.79,NA,105.88000000000001,26.6,23.82,12.43,29.490000000000002
Acanthodactylus pardalis,Male,Lacertidae,Lacertoidea,Acanthodactylus_pardalis,5,5,5.6000000000000005,NA,60.8,14.8,9.9,8.5,NA
Callisaurus draconoides,Male,Phrynosomatidae,Pleurodonta,Callisaurus_draconoides,12,12,6.25,NA,91.22,16.59,13.43,9.280000000000001,NA
Carlia triacantha,unknown,Scincidae,Scincoidea,Carlia_triacantha,2,2,0.82,3.81,51,9.29,8.86,NA,NA
Aspidoscelis tigris,Male,Teiidae,Lacertoidea,Aspidoscelis_tigris,5,5,11.07,NA,87.15,21.04,12.03,10.02,NA
Smaug mossambicus,Male,Cordylidae,Scincoidea,Smaug_mossambicus,5,5,20.189999999999998,NA,112.2,30.849999999999998,25.27,14.37,NA
Corucia zebrata,Male,Scincidae,Scincoidea,Corucia_zebrata,2,2,276,NA,282.07,55.13,51.25,39.04,NA
Cryptoblepharus metallicus,unknown,Scincidae,Scincoidea,Cryptoblepharus_metallicus,11,8,0.22,1.5,42.63,9.35,6.130000000000001,NA,NA
Ctenotus inornatus,unknown,Scincidae,Scincoidea,Ctenotus_inornatus,10,9,1.8599999999999999,7.890000000000001,73.48,14.27,10.21,NA,NA
Ctenotus robustus,unknown,Scincidae,Scincoidea,Ctenotus_robustus,15,12,6.83,32.54,124.27000000000001,19.86,15.7,NA,NA
Dipsosaurus dorsalis,Male,Iguanidae,Pleurodonta,Dipsosaurus_dorsalis,10,10,21.2,NA,131.44,22.98,20.459999999999997,15.04,NA
Eremiascincus isolepis,unknown,Scincidae,Scincoidea,Eremiascincus_isolepis,5,5,0.55,4.84,63.019999999999996,11.48,8.71,NA,NA
Eulamprus heatwolei,Male,Scincidae,Scincoidea,Eulamprus_heatwolei,3,3,18.36,NA,119.87,21.8,14.53,11.47,NA
Gallotia galloti,Male,Lacertidae,Lacertoidea,Gallotia_galloti,56,16,148.78,NA,110.76,29.34,19.79,16,NA
Archaeolacerta bedriagae,Male,Lacertidae,Lacertoidea,Archaeolacerta_bedriagae,14,14,11,NA,77.2,21.2,12.700000000000001,8.1,NA
Lacerta bilineata,Male,Lacertidae,Lacertoidea,Lacerta_bilineata,2,2,23.5,NA,92.9,25.9,16.1,12.100000000000001,NA
Latastia longicaudata,Male,Lacertidae,Lacertoidea,Latastia_longicaudata,3,3,9,NA,95.80000000000001,21.7,11.7,10,NA
Stellagama stellio,Male,Agamidae,Acrodonta,Stellagama_stellio,4,4,27.240000000000002,NA,103.07000000000001,24.43,24.26,13.68,NA
Podarcis liolepis,Male,Lacertidae,Lacertoidea,Podarcis_liolepis,6,6,9.2,NA,65.10000000000001,16.4,9.4,7.7,NA
Podarcis hispanicus,Male,Lacertidae,Lacertoidea,Podarcis_hispanicus,10,10,5.4,NA,59.5,15.3,9,6.5,NA
Podarcis lilfordi,Male,Lacertidae,Lacertoidea,Podarcis_lilfordi,8,8,11.520000000000001,NA,64.64999999999999,17.78,10.47,8.54,NA
Podarcis tiliguerta,Male,Lacertidae,Lacertoidea,Podarcis_tiliguerta,18,18,5,NA,60,15.9,8.9,6.9,NA
Pogona vitticeps,Male,Agamidae,Acrodonta,Pogona_vitticeps,8,8,130.71,NA,246.51,41.1,54.64,32.769999999999996,NA
Psammodromus algirus,Male,Lacertidae,Lacertoidea,Psammodromus_algirus,9,9,13.17,NA,78.17,19.12,12.33,9.309999999999999,NA
Tiliqua rugosa,Male,Scincidae,Scincoidea,Tiliqua_rugosa,13,13,191.75,NA,299.51,48.98,55.44,35.75,NA
Uromastix acanthinura,Male,Agamidae,Acrodonta,Uromastix_acanthinura,4,4,92.13,NA,185.57,36.7,37.269999999999996,21.369999999999997,NA
Varanus exanthematicus,Male,Varanidae,Anguimorpha,Varanus_exanthematicus,7,7,107.61,NA,262.28000000000003,52.66,36.65,26.93,NA
Salvator merianae,Male,Teiidae,Lacertoidea,Salvator_merianae,10,10,534.24,NA,425,99.65,NA,NA,NA
Diplolaemus leopardinus,unknown,Leiosauridae,Pleurodonta,Diplolaemus_leopardinus,21,20,19.82,24.840651431240826,89.31340895940727,NA,NA,NA,NA
Gallotia intermedia,Male,Lacertidae,Lacertoidea,Gallotia_intermedia,1,1,121.9,123,154.8,42.3,28.4,20.3,34.6
Gekko gecko,Male,Gekkonidae,Gekkota,Gekko_gecko,5,5,29.1,35.400000000000006,127.4,NA,NA,NA,NA
Scelotes montispectus,unknown,Scincidae,Scincoidea,Scelotes_montispectus,1,1,1.27,1,61.58,6.81,3.32,2.83,6.4
Anolis carolinensis,Male,Dactyloidae,Pleurodonta,Anolis_carolinensis,56,56,12.598826466212717,NA,67.51065627318681,NA,NA,NA,NA
Anolis pentaprion,Female,Dactyloidae,Pleurodonta,Anolis_pentaprion,1,1,3.95,NA,46.63,13.23,7.67,5.6,12.76
Anolis sagrei,Male,Dactyloidae,Pleurodonta,Anolis_sagrei,27,27,10.23,NA,63.980000000000004,17.79,NA,NA,NA
Acanthodactylus aureus,Male,Lacertidae,Lacertoidea,Acanthodactylus_aureus,3,3,5.83,NA,72.35,18.73,11.17,9.16,NA
Acanthodactylus erythrurus,Male,Lacertidae,Lacertoidea,Acanthodactylus_erythrurus,7,7,9.7,NA,72.5,17.75,11.65,9.27,NA
Iberolacerta monticola,Male,Lacertidae,Lacertoidea,Iberolacerta_monticola,6,6,12.91,NA,73.28,17.96,11.18,7.89,NA
Lacerta schreiberi,Male,Lacertidae,Lacertoidea,Lacerta_schreiberi,7,7,34.23,NA,95.57,24.58,17.01,13.22,NA
Podarcis peloponnesiacus,Male,Lacertidae,Lacertoidea,Podarcis_peloponnesiacus,9,9,13.45,NA,75.5,19.66,11.83,9.67,NA
Psammodromus hispanicus,Male,Lacertidae,Lacertoidea,Psammodromus_hispanicus,6,6,2.26,NA,41.1,10.72,6.56,5.24,NA
Takydromus sexlineatus,Male,Lacertidae,Lacertoidea,Takydromus_sexlineatus,9,9,0.56,NA,54.45,13.73,6.24,5.43,NA
Tupinambis teguixin,Male,Teiidae,Lacertoidea,Tupinambis_teguixin,3,3,105,NA,321.37,NA,NA,NA,NA
Bradypodion caeruleogula,Male,Chamaeleonidae,Acrodonta,Bradypodion_caeruleogula,6,6,10.82,NA,52.629999999999995,NA,NA,NA,NA
Bradypodion caffer,Male,Chamaeleonidae,Acrodonta,Bradypodion_caffer,6,6,22.509999999999998,NA,63.32,NA,NA,NA,NA
Bradypodion damaranum,Male,Chamaeleonidae,Acrodonta,Bradypodion_damaranum,19,19,31.240000000000002,NA,74.67999999999999,NA,NA,NA,NA
Bradypodion kentanicum,Male,Chamaeleonidae,Acrodonta,Bradypodion_kentanicum,11,11,11.84,NA,56.370000000000005,NA,NA,NA,NA
Bradypodion nemorale,Female,Chamaeleonidae,Acrodonta,Bradypodion_nemorale,19,20,14,NA,66.05,NA,NA,NA,NA
Bradypodion occidentale,Female,Chamaeleonidae,Acrodonta,Bradypodion_occidentale,9,9,40.54,NA,91.45,NA,NA,NA,NA
Bradypodion pumilum,Male,Chamaeleonidae,Acrodonta,Bradypodion_pumilum,27,27,23.57,NA,75.21000000000001,NA,NA,NA,NA
Bradypodion setaroi,Female,Chamaeleonidae,Acrodonta,Bradypodion_setaroi,15,15,13.950000000000001,NA,62.43,NA,NA,NA,NA
Bradypodion taeniabronchum,Male,Chamaeleonidae,Acrodonta,Bradypodion_taeniabronchum,21,32,5.13,NA,54.870000000000005,NA,NA,NA,NA
Bradypodion thamnobates,Female,Chamaeleonidae,Acrodonta,Bradypodion_thamnobates,17,12,47.29,NA,85.55000000000001,NA,NA,NA,NA
Bradypodion transvaalense,Female,Chamaeleonidae,Acrodonta,Bradypodion_transvaalense,10,10,23.56,NA,78.34,NA,NA,NA,NA
Bradypodion ventrale,Female,Chamaeleonidae,Acrodonta,Bradypodion_ventrale,19,19,19.11,NA,80.24,NA,NA,NA,NA
Eurolophosaurus nanuzae,unknown,Tropiduridae,Pleurodonta,Eurolophosaurus_nanuzae,29,29,35.58,NA,56.39,NA,NA,NA,NA
Tropidurus hispidus,unknown,Tropiduridae,Pleurodonta,Tropidurus_hispidus,31,31,75.34,NA,106.71,NA,NA,NA,NA
Tropidurus semitaeniatus,unknown,Tropiduridae,Pleurodonta,Tropidurus_semitaeniatus,30,30,31.369999999999997,NA,75.51,NA,NA,NA,NA
